TÍTULO: Trinkets
URL: https://darkestdungeon.wiki.gg/wiki/Trinkets
CATEGORÍA: general
FECHA: 2025-11-04 00:13:45

================================================================================

Trinkets Butcher's Circus Trinkets are pieces of equipment obtained while adventuring in the dungeons, earned as rewards from quests, or bought at the Nomad Wagon . Certain trinkets are earned by defeating specific enemies. Each hero is able to carry up to two different trinkets at a time. If a hero dies, their trinkets can be scavenged if the player perseveres and wins the battle. Fleeing a battle will not give such an opportunity. The trinkets confer stat bonuses and penalties when worn, and it is up to the player to use them to their full effect. Trinkets have different rarities, which are denoted in game by color and description. A trinket is given as a reward for completing each expedition , starting at Common for short Apprentice dungeons and increasing one level of rarity for each additional difficulty or length (up to Ancestral for long Champion dungeons). Boss-slaying expeditions always have a Very Rare trinket as a reward regardless of difficulty. Some trinkets can be found as a quest reward for only a specific region. These can still be bought from the Nomad Wagon . Some unique trinkets can only be found by killing specific enemies. Madmen will very rarely drop music boxes, and The Collector miniboss will sometimes drop powerful head-based trinkets (though these can also be found in Secret Rooms ). Defeating the Champion version of any of the 8 bosses (from the 4 normal regions) also awards a Trophy trinket exclusive to that boss. Ancestral trinkets, enemy trinkets (Madman, Collector, and Trophy ), and some Very Rare trinkets (particularly those from DLCs) are all unique. Once you own one, you cannot find a duplicate. If a Trophy (or a Talisman of the Flame) is lost, it will automatically reappear in the inventory the next week. If any other unique trinket is sold or discarded from the inventory, it must be found again from the same source. If you have lost (not sold/discarded) at least eight trinkets throughout your playthrough, a special quest named Shrieker's Perch will become available on the Estate map. This is a regular encounter with the Shrieker that rewards eight of your lost trinkets upon completion. Certain unique trinkets, like Ancestral trinkets, can only be recovered this way if lost. Two trinkets, the Stone of Patience and the Stone of Endurance, are currently exclusive to the PS4 and VITA versions of the game. Contents 1 Equipping Trinkets 2 Selling Trinkets 3 Normal Trinkets List 3.1 Generic Trinkets 3.2 Hero Trinkets 4 Unique Trinkets 4.1 Enemy Trinkets 4.2 The Ancestor's Trinkets 4.3 Trophies 4.4 Shrieker Trinkets 4.5 Crimson Court Trinkets 4.6 Trinket Sets 4.7 Color of Madness Trinkets 5 Special 6 History 7 Unused Trinkets 8 Number of Trinkets Equipping Trinkets Trinkets are listed in your Trinket Inventory , accessed by left-clicking the "chest" icon at the bottom right of your game screen. Your trinkets can be sorted by Class Restriction, by Rarity, or Alphabetically by name. To equip a trinket to a Hero, open that Hero's character sheet by right-clicking the picture of that hero. Then simply drag/drop the desired trinket to one of the two slots at the bottom of the screen, or manually sorted by dragging/dropping them to a new slot in the inventory. If a trinket is already in a selected slot (on the character or in the inventory), that trinket will swap places with the new one. This technique can also be used during a mission via that Inventory screen, to either equip a newly found trinket (and freeing up an inventory slot, if no equipped trinket replaces it), to unequip an unwanted trinket (assuming there is an open slot in the Inventory), or even to swap trinkets from one character to another by using both these actions. There is also an option to "unequip all trinkets" from any and all Heroes. Newly unequipped trinkets will be listed at the bottom of the inventory until re-sorted. Selling Trinkets Trinkets can be sold in the hamlet from the Trinket Inventory by holding SHIFT and clicking on them. Sell values for trinkets are as follows: Rarity Value (Very) Common 750 Common 1125 Uncommon 1500 Rare 2250 Very Rare 3750 Very Rare ( Collector / Madman ) 2250 Shrieker 1 Ancestral 7500 Crimson Court 7500 Backer 1 Darkest Dungeon , Trophy , Crystalline , Keepsake , and Thing trinkets cannot be sold. Normal Trinkets List There are two types of Normal Trinkets; Generic and Hero specific. The player can have as many of these Trinkets in their inventory as they'd like. Generic Trinkets Generic Trinkets can be equipped by any hero. Hero Trinkets Hero Trinkets can only be equipped by the specific hero listed on the trinket. Each hero has 1-3 common/uncommon trinkets along with 1 rare/very rare trinket. Unique Trinkets The second type of Trinkets are Unique Trinkets. The player can only have one of each of the following trinkets in their inventory at once. Enemy Trinkets These Trinkets are mainly only dropped after defeating certain rare and/or powerful enemies. The only exception is The Collector's heads, which can also be found within Secret Rooms. The Ancestor's Trinkets While he was alive, the Ancestor had several powerful items that have since been scattered across the land. These items are powerful, and any hero who wields them might hold that power. However, the weight of the Ancestor's horrible actions still cling to these artifacts, and any hero holding them will feel that sinister energy upon themselves... Ancestral trinkets are usually obtained from completing long Champion-level quests and in Endless Harvest at rounds 100+. They may rarely be discovered in loot. Certain areas in the Darkest Dungeon have chests guaranteed to contain Ancestral trinkets. Five of these trinkets can only be obtained by killing the Shambler or Shuffling Horror . The "Sentimental relics from our forefathers" achievement requires the player to acquire all 14 Ancestral trinkets, which will involve needing to hunt Shamblers. Trophies Trophies are unique Trinkets that are only offered as quest rewards when defeating the highest level of a boss encounter. They mostly only offer positive bonuses with no penalties, and will also re-appear in your inventory back at the hamlet, should you lose them in a mission. Shrieker Trinkets The Radiant Update added a monster known as The Shrieker. It spawns from certain town events, one of which is called "Shrieker's Prize." Each time you complete this quest, you are awarded one of these trinkets. Crimson Court Trinkets These are special trinkets unique to the Crimson Court DLC . While they act like most Very Rare trinkets, the player can only keep one each in their inventory. All of them have effects that involve the Crimson Curse or the Courtyard in some way. All of these items can be dropped by the Fanatic , except Sculptor's Tools, which is treated the same as any Very Rare trinket. Trinket Sets The Crimson Court DLC added special Trinket Sets, two for each hero. They confer powerful bonuses to the hero equipped with them, and having both equipped at once yields an additional bonus, which is shown greyed out at the bottom. The origin dungeon for all Trinket Sets is the Courtyard and they all have the rarity Crimson Court . The Shieldbreaker Trinket Set , however, is only obtainable through her final 6th and 7th nightmare encounters and won't be dropped or given as a reward in the Courtyard. Trinkets you already have will stop dropping, so there's value in not selling the ones you don't like until you get the ones you want. Color of Madness Trinkets The Color of Madness DLC added trinkets with a new rarity, Crystalline . Each hero has their own unique crystalline trinket which can be bought from Jeweler inside the Nomad Wagon with Crystal Shards found within the Farmstead . Special These are special trinkets that have special properties that make them more unique than other trinkets. They include trinkets only found when the game begins, and the Talisman of the Flame. History When originally introduced, Tempting Goblet's rarity was Very Rare . A new subset of ancestral items were introduced in the Fiends & Frenzy update, Ancestor's trinkets. Ancestral trinkets not belonging to the Ancestor Set were later reclassified as Very Rare trinkets. The Inhuman Bondage update added a new subset of trinkets that can be found by defeating the new enemies ( Madman and The Collector ). With the full release of the game, Trophy Trinkets were introduced. With the release of the PS4 and VITA ports of the game, 5 new trinkets were added to the console versions. Two of which, the Stone of Endurance and Stone of Patience, are currently available upon starting up a new game. The other three are very rarely dropped by champion level enemies. With the release of the The Crimson Court , Trinket Sets and Sets bonuses were introduced to the game, alongside plenty of new Very Rare quality trinkets and rebalancing of old trinkets' effect and rarity. The The Color of Madness added crystalline trinkets which can be bought with shards, earned by completing the Farmstead quests. The Musketeer was also made available to all players, bringing her trinkets into the available pool. Additionally, several of the existing trinkets were rebalanced in terms of effects and rarity. Unused Trinkets There are a few unused trinkets in the game folders with unknown uses. Number of Trinkets Below are tables that shows the number of trinkets in the game depending on DLC, as well as how many are in each trinket group. Unused trinkets, backer trinkets , and the two PS4 exclusive trinkets will not be listed. Total (base game): 195 Generic Hero Specific (Very) Common 16 0 Common 14 30 Uncommon 26 18 Rare 17 16 Very Rare 9 15 Very Rare (special) 6 0 Shrieker 4 0 Ancestral 14 0 Darkest Dungeon 1 0 Trophy 9 0 Total (Crimson Court): 246 (253) Generic Hero Specific (Very) Common 16 0 Common 14 31 Uncommon 26 20 Rare 17 17 Very Rare 9 16 Very Rare (special) 15 0 Shrieker 4 0 Ancestral 14 0 Darkest Dungeon 1 0 Trophy 12 0 Crimson Court 0 32 Total (Shieldbreaker DLC): 202 Generic Hero Specific (Very) Common 16 0 Common 14 31 Uncommon 26 20 Rare 17 17 Very Rare 9 16 Very Rare (special) 6 0 Shrieker 4 0 Ancestral 14 0 Darkest Dungeon 1 0 Trophy 9 0 Crimson Court 0 34 Total (Color of Madness): 223 Generic Hero Specific (Very) Common 16 0 Common 14 30 Uncommon 26 18 Rare 17 16 Very Rare 9 15 Very Rare (special) 6 0 Shrieker 4 0 Ancestral 14 0 Darkest Dungeon 1 0 Trophy 9 0 Crystalline 5 18 Keepsake 1 0 Thing 4 0 Total (Musketeer DLC): 202 Generic Hero Specific (Very) Common 16 0 Common 14 32 Uncommon 26 19 Rare 17 17 Very Rare 9 16 Very Rare (special) 6 0 Shrieker 4 0 Ancestral 14 0 Darkest Dungeon 1 0 Trophy 9 0 Crimson Court 0 34 Total (With all DLC): 286 Generic Hero Specific (Very) Common 16 0 Common 14 34 Uncommon 26 23 Rare 17 19 Very Rare 9 18 Very Rare (special) 15 0 Shrieker 4 0 Ancestral 14 0 Darkest Dungeon 1 0 Trophy 12 0 Crimson Court 0 36 Crystalline 5 18 Keepsake 1 0 Thing 4 0


=== TABLA DE INTERACCIONES ===


Trinket Image | Trinket Name | Rarity | Origin Dungeon | Effect | Additional Notes

[Íconos: Inv trinket-accuracy stone.png]  | Accuracy Stone | (Very) Common | Warrens | +4 ACC-1 SPD | 

[Íconos: Inv trinket-bleed charm.png]  | Bleed Charm | (Very) Common | Weald | +20%BleedResist-2 DODGE | 

[Íconos: Inv trinket-bleed stone.png]  | Bleed Stone | (Very) Common |  | +15%BleedSkill Chance-1 SPD | 

[Íconos: Inv trinket-blight charm.png]  | Blight Charm | (Very) Common |  | +20%BlightResist-2 DODGE | 

[Íconos: Inv trinket-blight stone.png]  | Blight Stone | (Very) Common |  | +15%BlightSkill Chance-1 SPD | 

[Íconos: Inv trinket-critical stone.png]  | Critical Stone | (Very) Common | Warrens | +3% CRIT-1 SPD | 

[Íconos: Inv trinket-debuff charm.png]  | Debuff Charm | (Very) Common |  | +20%DebuffResist-2 DODGE | 

[Íconos: Inv trinket-debuff stone.png]  | Debuff Stone | (Very) Common | Ruins | +15%DebuffSkill Chance-1 SPD | 

[Íconos: Inv trinket-disease charm.png]  | Disease Charm | (Very) Common |  | +20%DiseaseResist-2 DODGE | 

[Íconos: Inv trinket-dodge stone.png]  | Dodge Stone | (Very) Common | Ruins | +4 DODGE-1 SPD | 

[Íconos: Inv trinket-health stone.png]  | Health Stone | (Very) Common |  | +10% MAX HP-1 SPD | 

[Íconos: Inv trinket-move charm.png]  | Move Charm | (Very) Common | Weald | +20%MoveResist-1 SPD | 

[Íconos: Inv trinket-move stone.png]  | Move Stone | (Very) Common |  | +15%MoveSkill Chance-1 SPD | 

[Íconos: Inv trinket-protection stone.png]  | Protection Stone | (Very) Common |  | +5% PROT-1 SPD | 

[Íconos: Inv trinket-stun charm.png]  | Stun Charm | (Very) Common | Ruins | +20%StunResist-2 DODGE | 

[Íconos: Inv trinket-stun stone.png]  | Stun Stone | (Very) Common |  | +10%StunSkill Chance-1 SPD | 

[Íconos: Inv trinket-archers ring.png]  | Archer's Ring | Common |  | +5 ACCRangedSkills-1 SPD | 

[Íconos: Inv trinket-bloodied fetish.png]  | Bloodied Fetish | Common |  | +20%BlightResist+20%BleedResist-20%DiseaseResist | 

[Íconos: Inv trinket-book of intuition.png]  | Book of Intuition | Common |  | -20% Chance PartySurprised-1 SPD | 

[Íconos: Inv trinket-caution cloak.png]  | Caution Cloak | Common | Weald | +10%ScoutingChance-10 SPD on First Round | 

[Íconos: Inv trinket-damage stone.png]  | Damage Stone | Common |  | +10% DMG-4 DODGE | 

[Íconos: Inv trinket-dazzling charm.png]  | Dazzling Charm | Common |  | +10%StunSkill Chance | 

[Íconos: Inv trinket-deteriorating bracer.png]  | Deteriorating Bracer | Common | Weald | +10 DODGE if HP above 75%-6 DODGE if HP below 50% | 

[Íconos: Inv trinket-reckless charm.png]  | Reckless Charm | Common | Weald | +5 ACC-2 DODGE | 

[Íconos: Inv trinket-slippery boots.png]  | Slippery Boots | Common |  | +4 DODGE-20%MoveResist | 

[Íconos: Inv trinket-snake oil.png]  | Snake Oil | Common | Ruins | -10%Stress | 

[Íconos: Inv trinket-speed stone.png]  | Speed Stone | Common |  | +1 SPD | 

[Íconos: Inv trinket-survival guide.png]  | Survival Guide | Common |  | +10%ScoutingChance+10%TrapDisarm Chance-1 SPD | 

[Íconos: Inv trinket-warriors bracer.png]  | Warrior's Bracer | Common |  | +10% DMGMeleeSkills-4 DODGE | 

[Íconos: Inv trinket-warriors cap.png]  | Warrior's Cap | Common |  | +5 ACCMeleeSkills | 

[Íconos: Inv trinket-bleed amulet.png]  | Bleed Amulet | Uncommon |  | +20%BleedSkill Chance+20%BleedResist-20%BlightResist | 

[Íconos: Inv trinket-blight amulet.png]  | Blight Amulet | Uncommon |  | +20%BlightSkill Chance+20%BlightResist-20%BleedResist | 

[Íconos: Inv trinket-blood charm.png]  | Blood Charm | Uncommon |  | +30%BleedResist | 

[Íconos: Inv trinket-bloodthirst ring.png]  | Bloodthirst Ring | Uncommon |  | -100% Food Consumed+10% MAX HP-25%HealingReceived | 

[Íconos: Inv trinket-book of constitution.png]  | Book of Constitution | Uncommon |  | +30%BlightResist+30%DiseaseResist-1 SPD | 

[Íconos: Inv trinket-book of holiness.png]  | Book of Holiness | Uncommon |  | -20%Stress-10%Death BlowResist | 

[Íconos: Inv trinket-book of rage.png]  | Book of Rage | Uncommon | Weald | +20% DMG if HP below 33%+8% CRIT if HP below 33%-10%BleedResist-10%BlightResist | 

[Íconos: Inv trinket-book of relaxation.png]  | Book of Relaxation | Uncommon |  | -10%Stress+4 ACC-4 DODGE | 

[Íconos: Inv trinket-camouflage cloak.png]  | Camouflage Cloak | Uncommon |  | +15 DODGE if Torch above 75-20%StunResist | 

[Íconos: Inv trinket-calming crystal.png]  | Calming Crystal | Uncommon | Ruins | -15%Stress-1 SPD | 

[Íconos: Inv trinket-chirurgeons charm.png]  | Chirurgeon's Charm | Uncommon |  | +15%HealingSkills | 

[Íconos: Inv trinket-dark bracer.png]  | Dark Bracer | Uncommon |  | +8% CRIT if Torch below 26+5 DODGE if Torch below 51-10% DMG if Torch above 51 | 

[Íconos: Inv trinket-debuff amulet.png]  | Debuff Amulet | Uncommon |  | +30%DebuffSkill Chance+30%DebuffResist-4 DODGE | 

[Íconos: Inv trinket-gamblers charm.png]  | Gambler's Charm | Uncommon |  | +15% MAX HP-10%Death BlowResist | 

[Íconos: Inv trinket-heavy boots.png]  | Heavy Boots | Uncommon |  | +40%MoveResist+20% PROT-2 SPD | 

[Íconos: Inv trinket-life crystal.png]  | Life Crystal | Uncommon |  | +20% MAX HP-1 SPD | 

[Íconos: Inv trinket-move amulet.png]  | Move Amulet | Uncommon |  | +20%MoveSkill Chance+30%MoveResist-10%DebuffResist | 

[Íconos: Inv trinket-seer stone.png]  | Seer Stone | Uncommon | Ruins | +15%ScoutingChance-1 SPD | 

[Íconos: Inv trinket-shimmering cloak.png]  | Shimmering Cloak | Uncommon | Ruins | +8 DODGE-33%HealingReceived | 

[Íconos: Inv trinket-solar bracer.png]  | Solar Bracer | Uncommon | Warrens | +4% CRIT if Torch above 75+5 DODGE if Torch above 75-5% CRIT if Torch below 50-6 DODGE if Torch below 51 | 

[Íconos: Inv trinket-steady bracer.png]  | Steady Bracer | Uncommon |  | +10 ACCRangedSkills-2 DODGE | 

[Íconos: Inv trinket-stun amulet.png]  | Stun Amulet | Uncommon |  | +10%StunSkill Chance+20%StunResist-4 DODGE | 

[Íconos: Inv trinket-surgical glove.png]  | Surgical Gloves | Uncommon | Warrens | +8% CRITMeleeSkills+5 ACCMeleeSkills-20%MoveResist-10%DebuffResist | 

[Íconos: Inv trinket-swift cloak.png]  | Swift Cloak | Uncommon |  | +2 SPD-20%MoveResist | 

[Íconos: Inv trinket-tenacity ring.png]  | Tenacity Ring | Uncommon | Ruins | +10%Death BlowResist+5 DODGE-5% CRIT | 

[Íconos: Inv trinket-worrystone.png]  | Worrystone | Uncommon |  | +10%VirtueChance-10%Stress-1 SPD | 

[Íconos: Inv trinket-beast slayers ring.png]  | Beast Slayer's Ring | Rare |  | +25% DMG vs Beast-8 DODGE | 

[Íconos: Inv trinket-berserk charm.png]  | Berserk Charm | Rare | Warrens | +3 SPD+15% DMG+15%Stress-5 ACC-10%VirtueChance | 

[Íconos: Inv trinket-brawlers gloves.png]  | Brawler's Gloves | Rare |  | +25% DMG if in position 1-5% CRIT-1 SPD | 

[Íconos: Inv trinket-dark crown.png]  | Dark Crown | Rare | Weald | -25%Stressif Torch below 26+15%VirtueChance if Torch below 26 | 

[Íconos: Inv trinket-eldritch slayers ring.png]  | Eldritch Slayer's Ring | Rare |  | +25% DMG vs Eldritch-8 DODGE | 

[Íconos: Inv trinket-fasting seal.png]  | Fasting Seal | Rare | Warrens | -100% Food Consumed-100% DMG Inflicted When Starving+5 DODGE | 

[Íconos: Inv trinket-feather crystal.png]  | Feather Crystal | Rare |  | +2 SPD+8 DODGE-20%StunResist-20%MoveResist | 

[Íconos: Inv trinket-man slayers ring.png]  | Man Slayer's Ring | Rare |  | +25% DMG vs Human-8 DODGE | 

[Íconos: Inv trinket-moon cloak.png]  | Moon Cloak | Rare |  | +15% PROT if Torch below 26+10 DODGE if Torch below 26+10%Stress | 

[Íconos: Inv trinket-moon ring.png]  | Moon Ring | Rare |  | +15% DMG if Torch below 26+10 ACC if Torch below 26+10%Stress | 

[Íconos: Inv trinket-quick draw charm.png]  | Quick Draw Charm | Rare |  | +8 SPD on First Round+12% CRIT on First Round-3 SPD after First Round | 

[Íconos: Inv trinket-recovery charm.png]  | Recovery Charm | Rare |  | +40%HealingReceived | 

